Customer Name,Age,Gender,Marital Status,Education Level,Income Level,Occupation,Account Balance,Length of Time with Bank (Months),Transaction Frequency,Average Transaction Amount,Digital Banking Usage,Customer Service Interactions,Sentiment Score,Life Event,Competitor Proximity,Market Conditions,Customer Interactions,Product Usage,Customer Satisfaction,Customer Engagement
Matthew Smith,86,Female,Single,Bachelor's Degree,60219,Professional,2663.295472990939,217,59,809.9372315664453,Low,19,0.6764203324162403,None,Close,Good,21,Medium,2,3
Amy Murphy,79,Male,Divorced,Bachelor's Degree,190370,Technical,8608.726349162083,270,24,88.06601219138823,Medium,14,0.4304321143185973,Birth,Far,Good,0,High,3,2
James Wilson,78,Male,Divorced,PhD,48924,Technical,5173.767706187282,204,21,845.8079738966833,Medium,7,0.6925945596515578,Relocation,Far,Poor,19,High,2,4
Jackson Patterson,40,Male,Single,PhD,139802,Managerial,1664.1269188550357,123,55,838.611198437961,High,6,0.31224316842591204,Divorce,Far,Poor,31,High,1,2
Erin Preston,50,Female,Divorced,Bachelor's Degree,90669,Professional,8043.167114931525,83,30,849.2586217723319,High,7,0.1637309741549886,Relocation,Far,Fair,41,Low,4,4
Ricky Gutierrez,80,Female,Married,Bachelor's Degree,42475,Administrative,7168.995745884068,240,87,265.50229108315307,High,13,0.675807407746815,Divorce,Close,Fair,34,Medium,1,4
Christopher Allen,47,Female,Widowed,Master's Degree,46457,Managerial,7022.448697376132,284,61,746.8487864502964,High,2,0.9888446017747714,None,Close,Good,2,High,2,3
Marc Freeman,65,Male,Married,PhD,133009,Skilled Labor,4009.819828044674,40,15,341.2903912736333,Medium,12,0.6082519255256573,None,Far,Poor,18,Low,4,2
Nicole Smith,34,Female,Divorced,High School,195796,Skilled Labor,7836.815095291272,73,0,550.191563236404,High,4,0.848003390352035,Birth,Far,Poor,43,Medium,2,2
Jay Blankenship,50,Male,Single,Bachelor's Degree,84412,Administrative,7033.235747120243,223,18,335.1875432326701,High,8,0.571108695236862,Birth,Far,Good,8,Medium,2,2
Lisa Beltran,18,Male,Married,High School,68472,Professional,3305.126875864791,284,63,202.77769754348896,High,0,0.0038945097317006905,Relocation,Far,Fair,12,High,1,1
Eric Padilla,72,Male,Married,Master's Degree,175855,Managerial,8080.848038836132,17,79,898.4750856870704,Low,3,0.08875456825452965,Marriage,Close,Fair,8,Medium,3,1
Steve Dalton,60,Female,Married,PhD,116881,Administrative,2531.456656657558,53,57,604.8427770351572,High,3,0.9398209909009608,Relocation,Moderate,Good,6,High,4,4
Taylor Williams,30,Female,Widowed,High School,170413,Administrative,5000.582516912999,205,93,372.9830154370775,Low,9,0.24036862671135406,Birth,Moderate,Good,20,Low,4,2
Chad Martin,74,Female,Widowed,High School,61459,Administrative,175.3339888335248,299,55,136.80199843308577,High,5,0.4379312367405689,Marriage,Far,Fair,29,Medium,1,4
Dr. Frances Schroeder,36,Female,Widowed,Bachelor's Degree,107247,Managerial,3802.3662741819476,218,28,217.37991263129254,Medium,1,0.3791758468762446,Marriage,Close,Fair,44,Low,4,1
Heather Huff,36,Male,Divorced,Master's Degree,197643,Unskilled Labor,9185.031341955571,45,2,226.28540222816767,Medium,19,0.026926153092956207,Birth,Close,Good,11,High,1,2
Brittany Rush,59,Male,Married,Bachelor's Degree,102385,Technical,3270.061886956651,187,26,360.12151224269064,Medium,18,0.40456539790123036,Birth,Moderate,Fair,11,Low,3,1
Daniel Whitaker,19,Female,Single,High School,136587,Skilled Labor,1571.7978489742623,261,19,739.523252237503,High,3,0.21072604166970177,Divorce,Close,Good,29,High,4,4
Renee Yang,62,Female,Widowed,Master's Degree,40176,Skilled Labor,8466.431599606074,161,37,143.15874844593765,Low,13,0.6996433591163137,Divorce,Far,Good,38,Low,1,1
Michelle Jackson,32,Male,Married,Bachelor's Degree,20590,Technical,5261.406692710017,104,49,554.5030625519294,High,1,0.8158384635647862,Birth,Close,Fair,38,Medium,1,2
Patrick Hall,19,Female,Widowed,Master's Degree,84081,Skilled Labor,2575.2538472410824,238,37,706.3293894670973,High,3,0.5166153143323928,Divorce,Far,Fair,29,Low,2,3
Jeffrey Morris,68,Male,Divorced,Master's Degree,159576,Administrative,6128.920101425641,5,77,668.6317501459345,High,16,0.20352004950381986,Birth,Far,Fair,15,Medium,2,3
Dwayne Maxwell,64,Female,Single,Master's Degree,139547,Unskilled Labor,4141.324832973424,146,93,352.09442079615553,Low,18,0.48806561386801783,None,Moderate,Poor,43,Low,4,2
Jennifer Higgins,43,Female,Married,High School,189538,Managerial,2239.2027152769147,181,5,453.6353810560535,High,0,0.025260002699147632,Birth,Close,Good,13,Low,2,2
Jessica Gonzalez,45,Female,Widowed,Master's Degree,122176,Professional,9237.47780232484,13,67,499.8520215410093,High,15,0.8086195064793996,Divorce,Moderate,Poor,32,Low,2,2
Tina Kelly,68,Female,Single,PhD,23116,Professional,5294.808838020597,175,3,542.4465577739816,High,7,0.10078491190168326,None,Close,Fair,37,High,2,3
Daniel Stanley,48,Male,Single,PhD,111363,Administrative,1442.9892968308843,203,72,717.0974986250014,Medium,6,0.010904000739596298,None,Close,Fair,43,Medium,4,4
Mrs. Lauren Rodriguez,70,Female,Single,Master's Degree,193921,Skilled Labor,3594.872011372058,96,63,989.0452828620233,Low,14,0.33868472539862626,Divorce,Close,Good,44,Medium,1,1
Alexandria Wright,53,Female,Single,Master's Degree,121915,Unskilled Labor,2426.0621268253535,114,20,25.09328505544982,Medium,17,0.32253700944194075,Birth,Moderate,Good,32,Medium,2,4
Lauren Gross,65,Male,Single,High School,112321,Skilled Labor,3650.578564011311,247,85,442.02896802379047,Medium,7,0.8293852124766833,Relocation,Far,Poor,48,Low,3,1
Daniel Butler,38,Male,Single,PhD,113656,Administrative,3778.299967598242,105,12,460.2370294806428,High,17,0.28131081589101514,Birth,Far,Fair,47,High,1,4
Alexander Doyle,72,Female,Married,Bachelor's Degree,162291,Unskilled Labor,5994.227231542311,177,24,879.2798801153892,Low,18,0.502185985513691,Birth,Close,Good,2,High,3,4
Jennifer Rubio,45,Female,Single,Bachelor's Degree,166247,Technical,5782.713154648595,39,59,331.5825966631933,High,10,0.20640540209350622,Relocation,Close,Good,14,Low,2,1
Nicholas Jackson,53,Female,Widowed,High School,188749,Managerial,6580.005843706415,182,59,915.2558427854782,High,19,0.13562102785762475,Birth,Far,Good,16,Medium,4,1
Amanda Huff,50,Female,Divorced,Bachelor's Degree,157442,Professional,4857.662751414758,168,69,737.9870574594045,Medium,3,0.29403532820734657,Relocation,Far,Poor,26,High,1,4
Jerome Reed,65,Female,Single,Master's Degree,197960,Technical,2732.1057562953597,242,22,303.920421572476,Medium,5,0.48538429831277996,Birth,Far,Good,26,Medium,3,3
Jose Lewis,77,Male,Widowed,Master's Degree,148387,Managerial,6151.811618656295,66,52,685.5193341698956,Low,14,0.7975423056650681,None,Close,Good,25,High,1,3
Jennifer Taylor,47,Female,Single,Bachelor's Degree,59646,Managerial,1041.6372158560916,22,51,983.5824939182854,High,11,0.6008890561091362,None,Moderate,Good,36,High,4,4
Brianna Brown,76,Female,Divorced,Bachelor's Degree,162779,Skilled Labor,3266.9770640018583,296,57,985.9367644151617,Low,19,0.9807584447991045,Divorce,Far,Fair,35,High,4,4
Brent Rodriguez,43,Male,Widowed,High School,65717,Skilled Labor,9046.826592076572,248,21,371.8257001080335,Medium,12,0.8583594344809196,Relocation,Far,Good,29,Medium,2,4
Natasha Payne,77,Male,Widowed,PhD,84453,Skilled Labor,165.22285249297886,130,94,29.492296198959927,Medium,19,0.8064738721433637,None,Moderate,Good,8,High,4,2
Marcus Williams,59,Male,Single,Master's Degree,33154,Managerial,5288.280766211425,94,90,897.6881217277004,Low,16,0.08038957881449649,Divorce,Far,Fair,18,Medium,4,2
Linda Erickson,37,Male,Single,PhD,176468,Administrative,1845.3865804268664,43,35,896.8992535000845,High,13,0.24617419297590482,None,Far,Fair,12,Low,1,3
Kelly Ramos,39,Male,Single,Master's Degree,91954,Skilled Labor,4814.540068111496,148,65,314.19936076174935,Low,6,0.06756269533424286,Relocation,Moderate,Good,3,Medium,4,1
David Brown,23,Male,Married,PhD,31742,Managerial,9878.103562777742,259,10,859.7178830273128,Medium,19,0.07630488094081911,None,Close,Fair,15,Low,1,2
Gary Miller,46,Male,Married,High School,75693,Administrative,7016.477105299044,169,43,432.25191829477063,High,3,0.3225311839397934,Divorce,Far,Poor,31,High,4,4
Mr. Sean Lawrence,53,Female,Widowed,Bachelor's Degree,36917,Managerial,2352.9677578170163,273,98,852.8638162178904,High,13,0.8977296746365314,Marriage,Moderate,Poor,30,High,2,3
Monica Thompson,80,Female,Married,PhD,53891,Managerial,3482.909641783998,191,56,862.7582325975869,Medium,4,0.17897827968706115,Birth,Far,Fair,37,Low,2,2
Kimberly Ford,44,Female,Widowed,PhD,190585,Administrative,9439.273743282498,288,11,542.6950436083497,Low,12,0.9710660107255376,None,Far,Fair,27,High,3,3
Jose Woodward,41,Male,Married,High School,110901,Managerial,4999.409903779623,147,68,816.8666537133305,Low,8,0.15346097334596842,Marriage,Moderate,Poor,12,High,2,3
Nicole Hernandez,74,Male,Single,Master's Degree,139986,Managerial,4531.4500255898,201,42,775.7194064769031,High,12,0.7980927198423022,Birth,Moderate,Good,16,High,2,4
Dr. Ashley Lewis,45,Female,Single,High School,115654,Administrative,6965.0762233654605,245,16,342.68618681422686,High,8,0.7750188606858424,None,Close,Fair,33,Medium,4,2
Jennifer Carney,88,Female,Single,High School,110708,Unskilled Labor,4827.781578863919,113,28,343.75017987819615,Low,5,0.2518199220949955,Marriage,Far,Poor,40,High,4,4
James Martin,67,Male,Divorced,Master's Degree,131463,Managerial,6214.60759440652,30,82,733.7524189752032,High,4,0.17121419442427055,Divorce,Moderate,Poor,37,High,4,2
Joshua Mccarty,20,Male,Single,Master's Degree,199671,Administrative,7530.0619353358825,186,67,672.6439706625606,Medium,16,0.28682606041351577,Marriage,Moderate,Good,41,High,3,4
Dr. Jacob Smith,78,Male,Widowed,Bachelor's Degree,102963,Technical,9716.666386486966,185,80,481.03194371423814,Low,2,0.3190691001886875,Birth,Moderate,Good,11,Low,2,2
Amanda Patterson,83,Female,Married,High School,47709,Unskilled Labor,1394.2028505563242,274,83,334.6616842853805,Low,0,0.6000982886585491,Marriage,Moderate,Good,34,Low,2,4
Joseph Jackson,83,Female,Divorced,Master's Degree,172019,Skilled Labor,8648.160766727517,61,68,97.94306202191027,Medium,4,0.30854439687264923,Relocation,Close,Good,39,Low,3,4
Heather Brown,43,Female,Widowed,Bachelor's Degree,124169,Unskilled Labor,9034.756968766453,110,49,701.2131574595212,Low,4,0.7364530042466798,Marriage,Moderate,Good,33,High,1,2
Meghan Spears,38,Female,Widowed,Bachelor's Degree,75836,Professional,5086.2141345914915,267,59,471.8840650074951,Medium,13,0.6841869993546106,None,Far,Good,31,Low,1,4
Yvette Palmer,77,Male,Widowed,High School,113083,Technical,1770.6866769812414,242,59,490.40327805817884,High,6,0.30001345181486394,Divorce,Far,Good,48,Low,3,3
Mitchell Skinner,62,Male,Divorced,High School,119397,Managerial,6079.059562624079,111,48,93.34072695305106,High,9,0.5234717306707269,Birth,Moderate,Good,29,Medium,4,2
Linda Johnson,67,Male,Married,Bachelor's Degree,22872,Managerial,6530.821656245463,276,55,43.7644159748796,Low,7,0.7878859331511073,Relocation,Far,Fair,15,Low,1,2
Cheryl Graham,19,Male,Married,High School,52000,Skilled Labor,2697.2164137562418,232,53,266.84723306773094,High,8,0.6483624658004352,Relocation,Close,Fair,31,Low,1,3
Michael Vasquez,48,Female,Divorced,PhD,33831,Unskilled Labor,9469.827482562829,167,60,733.9343179195207,Low,8,0.0920626769639884,Birth,Moderate,Good,18,High,4,3
Shane Boyd,30,Female,Widowed,PhD,64662,Managerial,4086.5215993099737,50,85,33.57239981033707,Low,8,0.4485030535461294,None,Close,Poor,46,Low,1,3
Calvin Thomas,86,Male,Single,Master's Degree,128664,Professional,53.67523989043832,205,87,148.78929301524582,High,5,0.3949736043076465,Marriage,Far,Fair,6,Medium,3,2
Sheila Anderson,65,Male,Divorced,PhD,40933,Managerial,8518.923304076767,169,38,497.7768699125738,High,10,0.7500428718842335,Marriage,Moderate,Poor,34,High,3,2
David Harvey,71,Male,Single,High School,145690,Administrative,6188.745069892278,147,35,953.224963478536,Low,14,0.8172441425669343,Relocation,Moderate,Fair,40,Medium,1,2
Benjamin Howard,52,Male,Single,Bachelor's Degree,66756,Managerial,5929.003995503981,116,34,228.89841932184254,High,0,0.4555687506238887,Relocation,Close,Poor,35,Low,4,2
Ryan Hubbard,30,Female,Married,PhD,47615,Technical,2286.995945685927,184,58,163.4113141661363,Medium,18,0.7856129483681138,Divorce,Moderate,Poor,21,Low,1,4
Whitney Mckinney,21,Female,Divorced,High School,150908,Professional,8591.478493475655,228,72,812.216457176687,Low,3,0.09360825787760818,Marriage,Moderate,Good,24,High,4,2
Nancy Cross,29,Male,Widowed,PhD,47912,Unskilled Labor,2221.1056104869185,283,48,699.1283471382565,High,8,0.8155588983948633,None,Moderate,Good,9,High,2,4
Brian Brewer,75,Female,Single,High School,141016,Skilled Labor,4005.1454456388246,65,6,670.8892384861698,Medium,17,0.7175151380102662,Divorce,Far,Poor,37,High,3,1
Joshua Bridges,32,Male,Widowed,Bachelor's Degree,126368,Skilled Labor,5010.114304413371,121,42,538.7546295483136,High,16,0.7930047235373564,Marriage,Far,Fair,33,Medium,2,1
Heather Perry,66,Female,Married,High School,123675,Professional,2077.1506372292747,291,79,413.27536562806597,High,11,0.5592874106658603,None,Close,Poor,29,Medium,4,3
Randall Farmer,71,Female,Divorced,High School,34041,Skilled Labor,9431.589421628982,166,78,271.6246076565012,High,3,0.5428185057064817,Relocation,Far,Fair,46,High,4,4
Amy Gordon,85,Female,Divorced,High School,49041,Administrative,3365.927776430757,36,27,80.87025593727611,High,16,0.6986378621734327,Relocation,Far,Poor,42,High,1,3
Jamie Cervantes,64,Female,Single,Bachelor's Degree,68539,Professional,9116.788309298765,4,34,378.6440555574459,Medium,17,0.046425171374766094,Marriage,Moderate,Fair,7,Medium,1,4
Alan Davis,48,Male,Widowed,High School,26277,Unskilled Labor,4242.917643660657,222,59,685.5180257711065,Medium,9,0.252428806437639,Marriage,Moderate,Fair,11,Low,3,3
George Kennedy,83,Male,Widowed,High School,86373,Managerial,7849.128540100191,172,67,193.85763888898347,High,14,0.3625245035601269,None,Close,Poor,6,Medium,3,4
William Hamilton,83,Male,Divorced,Bachelor's Degree,58839,Administrative,7315.341834636574,214,17,177.13402410152065,Medium,6,0.7260061197116732,None,Moderate,Fair,27,Low,1,2
Dale Cunningham Jr.,60,Female,Divorced,Bachelor's Degree,61355,Technical,4770.991329802686,238,19,106.20706405703214,Low,16,0.9589570129890513,Relocation,Far,Good,45,High,1,1
Renee Dickerson,71,Female,Divorced,PhD,151241,Managerial,1451.2460529409032,271,65,451.62992655266004,Low,13,0.09168725028241842,Divorce,Far,Poor,11,Low,4,3
Andrea Hanson,71,Female,Widowed,PhD,41877,Skilled Labor,1079.9172960204028,58,75,504.2324250525863,Low,19,0.0473999882682663,Birth,Moderate,Good,29,High,3,1
Anna Mills,42,Male,Widowed,Bachelor's Degree,61279,Skilled Labor,5190.875589776078,63,70,143.77334558716979,Low,16,0.993186475652839,Divorce,Close,Fair,19,High,4,1
Jacqueline Reed,39,Female,Single,PhD,60399,Skilled Labor,8656.821608408198,175,75,839.4335495062945,High,10,0.7893452500563309,Birth,Moderate,Fair,42,Medium,1,2
Elizabeth Adams MD,62,Female,Single,High School,75595,Managerial,7555.520139277379,37,68,648.7258775531183,High,3,0.6323699391427825,Marriage,Close,Good,31,Medium,3,2
Jesse Nguyen,48,Male,Widowed,High School,61455,Administrative,2632.971817719967,126,91,614.5472949607326,Medium,12,0.50824110045676,Divorce,Far,Poor,23,Medium,3,1
Maurice Santiago,77,Female,Divorced,PhD,187652,Administrative,1078.9654313676133,132,96,278.9063346178801,Low,11,0.1450376489219336,Birth,Far,Fair,9,Low,2,1
Stephanie Moore,41,Male,Divorced,Bachelor's Degree,58305,Professional,975.2194223342325,34,77,348.4881014847664,High,15,0.9163486167947433,Divorce,Moderate,Poor,18,High,4,4
Brianna Dalton,73,Female,Married,High School,99621,Professional,2738.559837202528,171,71,411.51590115052096,Medium,6,0.34515645193429934,None,Moderate,Good,29,High,3,1
Ryan Ball,27,Female,Married,Master's Degree,103546,Administrative,8986.583746769162,66,50,661.2034773306557,Medium,2,0.05726711278347063,Divorce,Moderate,Fair,33,High,4,3
Kimberly Bell,44,Female,Married,High School,117239,Technical,8751.988724324101,173,76,422.0412887203776,Medium,4,0.40132338229358744,None,Close,Fair,38,Medium,1,3
Krista Andersen,34,Male,Single,High School,187774,Professional,9413.751306818709,119,39,119.80454625594898,High,1,0.1255700280362585,Marriage,Moderate,Fair,37,Low,4,4
James Walls,47,Male,Married,Bachelor's Degree,137055,Unskilled Labor,8798.455481261723,91,74,525.4052244595501,High,17,0.5211734539211397,Relocation,Moderate,Fair,4,Low,4,1
Mark Owen,89,Female,Widowed,Master's Degree,30724,Technical,2673.858545628295,199,83,635.7987965471336,Low,1,0.989952247867346,Marriage,Close,Fair,46,Low,3,1
Matthew Miller,57,Female,Divorced,Master's Degree,132398,Unskilled Labor,3505.5320972201985,160,61,41.82576487439928,Low,3,0.9069244821370848,Divorce,Close,Poor,49,Low,1,3
Francis Norman,61,Male,Divorced,Bachelor's Degree,135411,Administrative,1157.950196952311,60,4,160.411146573458,Medium,6,0.42904645105494355,Relocation,Far,Fair,25,Medium,3,3
Justin Evans,76,Female,Divorced,PhD,39658,Skilled Labor,4426.60355116942,209,84,72.56032020793427,High,17,0.6999357294083467,Marriage,Close,Poor,1,Medium,1,2
Dominique Calderon,29,Female,Widowed,Bachelor's Degree,31760,Skilled Labor,3141.282319117331,128,89,561.5832515964688,Medium,9,0.8112168208103202,Birth,Close,Fair,28,High,3,1
Veronica Wolfe,68,Female,Divorced,PhD,98744,Unskilled Labor,9791.757078566816,122,17,945.5224986987661,Medium,13,0.8276203292283962,Relocation,Close,Good,45,Low,2,3
Robert Brown,66,Female,Married,PhD,115176,Unskilled Labor,1403.8002442610298,47,36,229.5858921140879,High,14,0.07642248903100335,Relocation,Close,Fair,2,High,3,3
Patricia Chapman,29,Female,Widowed,Master's Degree,27772,Technical,5986.43207513611,103,93,778.8435574120272,Medium,14,0.8645538170709741,None,Close,Poor,16,High,1,3
Sarah Cunningham,41,Female,Married,High School,187940,Managerial,5053.954713277309,282,56,470.04953813812216,Medium,2,0.9641106851153928,Birth,Far,Fair,6,High,2,4
Monica Carlson,71,Male,Widowed,Bachelor's Degree,86850,Managerial,3998.942428872817,230,49,691.4128785334398,Medium,6,0.519725069362387,Divorce,Close,Fair,28,Medium,4,4
Dr. Wanda Pugh,71,Male,Divorced,High School,91343,Technical,5862.310681402201,47,25,402.06497502772487,High,3,0.7211060258369637,Divorce,Moderate,Poor,40,Medium,2,4
Christopher Wilkinson,81,Male,Divorced,Bachelor's Degree,144944,Managerial,4217.779763006587,265,38,984.7213440928152,Medium,8,0.6231812197503552,Divorce,Moderate,Good,26,Medium,2,2
Lori Peterson,61,Female,Married,PhD,79948,Administrative,8459.683217445023,185,3,847.703302098512,Medium,14,0.14847829067417118,Marriage,Close,Poor,49,Medium,4,2
Nicole Harris,73,Male,Divorced,PhD,120228,Skilled Labor,3902.2155119976087,73,3,801.5527479408964,High,17,0.8626214408372674,None,Close,Poor,11,Medium,1,4
Bridget Allen,84,Male,Widowed,Master's Degree,25241,Managerial,5427.62389132496,67,24,960.2725544497625,Medium,3,0.18089325244732246,Marriage,Close,Good,13,High,3,4
Michael Kirk,20,Female,Married,High School,55031,Professional,9439.219352710126,109,73,990.2438988791238,High,19,0.6927757455614819,Relocation,Moderate,Poor,13,Medium,2,4
John Molina,54,Male,Married,PhD,192378,Skilled Labor,8683.829764915676,155,40,198.8666985856371,Medium,17,0.5988258061662777,Marriage,Far,Fair,18,Low,3,2
Nicole Miller,30,Female,Married,High School,29507,Unskilled Labor,2257.6097231972926,227,44,761.6613910488148,Low,7,0.7294516675148236,Relocation,Far,Fair,40,Low,2,1
Derrick Steele,67,Male,Married,Bachelor's Degree,93556,Skilled Labor,9214.48699670539,40,16,516.0336117226237,Low,1,0.3780073368902911,Divorce,Far,Fair,10,High,1,1
Susan Walton,31,Female,Single,Master's Degree,172689,Unskilled Labor,2936.279392196065,93,84,614.237949224037,Medium,15,0.7292435425908739,None,Far,Good,37,High,4,1
Todd Miller,70,Female,Widowed,Bachelor's Degree,32118,Administrative,9487.547870796037,242,73,585.9681335500333,Medium,1,0.20538839891791738,Divorce,Far,Poor,8,Medium,4,3
Stephen Sullivan,80,Male,Divorced,PhD,21509,Technical,7760.852508009397,88,33,380.8555977210836,Medium,5,0.6301313667147718,Divorce,Close,Fair,2,High,3,4
Adam Baker,19,Male,Divorced,PhD,38606,Professional,7979.580881802121,31,19,494.7070640352922,Low,5,0.11323315554123525,Marriage,Close,Poor,32,High,3,4
Kristen Hall,61,Male,Married,Master's Degree,166924,Managerial,5338.784242591013,93,4,724.0847774525773,Low,19,0.6753201389275939,None,Moderate,Good,0,High,4,3
Danielle Morris,61,Male,Widowed,High School,144804,Administrative,6452.605632895464,244,55,302.303478544324,Medium,5,0.9322296573687483,Birth,Far,Fair,43,Low,3,2
Joseph Moore,23,Female,Widowed,Bachelor's Degree,177207,Administrative,5218.532262104502,5,26,484.24386696353196,High,12,0.22320531432185498,Relocation,Far,Good,32,Medium,4,4
Melanie Edwards,41,Female,Divorced,PhD,171784,Unskilled Labor,2947.592649182619,210,21,382.3720000468696,Low,13,0.4940177195161377,Marriage,Far,Good,28,Low,3,4
Timothy Phillips,41,Male,Widowed,Master's Degree,35148,Skilled Labor,7778.062443792615,217,80,719.3467784289031,Medium,11,0.08880831627458152,Divorce,Moderate,Fair,4,High,2,4
Maria Johnson,37,Male,Married,PhD,105485,Unskilled Labor,6620.044080762445,132,82,566.1003063266669,Medium,15,0.5278740456831857,Divorce,Close,Fair,19,Medium,1,1
Brian Martinez,33,Female,Married,High School,130889,Administrative,1438.6375864152544,64,31,448.382195986904,Medium,8,0.07395257398539423,Marriage,Moderate,Good,25,Low,2,2
Angela Lee,66,Female,Married,PhD,74423,Technical,6061.86127498601,26,53,945.9082953911691,High,0,0.9724010166808432,Relocation,Close,Good,32,High,4,4
Jerome Chaney,55,Male,Single,PhD,73526,Managerial,2130.498184563686,258,90,955.6767209626893,High,6,0.7096322240925264,Relocation,Moderate,Fair,23,Low,2,1
Shane Cortez,42,Female,Divorced,Master's Degree,113023,Skilled Labor,4140.39201066425,293,18,690.2135874954071,High,15,0.8362608722366985,Divorce,Close,Good,22,Low,2,3
Jeremy Paul,85,Male,Single,PhD,55496,Managerial,493.590177578801,126,53,45.37976706303361,Low,17,0.7368140479496902,Birth,Close,Fair,32,High,3,2
Caleb Sims,74,Male,Divorced,PhD,97828,Administrative,2705.7652279428635,274,93,442.28859613481967,Low,19,0.38767875679636377,None,Close,Poor,27,High,4,4
Kenneth Webster,60,Female,Single,PhD,120019,Technical,9304.697767790181,287,15,233.9110739611835,Medium,2,0.6670327147021309,Marriage,Far,Good,30,Medium,4,1
Richard Stokes,89,Female,Single,PhD,142740,Professional,6185.112067589465,270,61,770.7528881252531,Low,0,0.2449001466852203,Marriage,Moderate,Poor,18,High,1,3
Travis Anderson,38,Female,Widowed,Bachelor's Degree,107417,Technical,7438.046189213345,121,25,495.63428020081767,Low,1,0.9541714886612324,Marriage,Far,Good,28,High,3,4
Cheryl Foster MD,41,Male,Divorced,Bachelor's Degree,160998,Technical,1730.7064733375933,266,42,343.40638953576376,Medium,17,0.9880283852546029,Relocation,Moderate,Fair,9,Low,4,1
John Lowe,44,Male,Single,Bachelor's Degree,57783,Managerial,9889.00212318723,11,42,369.1819243663251,Medium,7,0.759745354068664,Relocation,Moderate,Fair,15,High,2,3
Paula Jones,45,Female,Single,Bachelor's Degree,187356,Unskilled Labor,9103.621286431706,42,12,899.9602805564482,Medium,9,0.15508965228287996,Relocation,Close,Fair,5,Low,4,2
Tanner Floyd,88,Male,Divorced,High School,75279,Unskilled Labor,9247.978493170502,131,32,907.2791106705573,High,5,0.8692654900520241,None,Far,Poor,30,Low,1,3
Sharon Nash,54,Male,Divorced,Master's Degree,36557,Administrative,2706.1190135111556,112,82,14.630642051063552,High,19,0.07337498353101335,Relocation,Far,Fair,14,High,1,1
William Lopez,67,Female,Divorced,Bachelor's Degree,125835,Technical,4785.458591752296,251,58,156.3019996100222,Low,9,0.26143624558129164,Relocation,Moderate,Poor,8,Low,4,3
Tara Lopez,45,Female,Married,Master's Degree,97817,Administrative,5126.371302441444,83,17,32.210797544501276,High,12,0.931673097129064,Birth,Close,Fair,21,High,4,1
Abigail Flores,87,Female,Widowed,Master's Degree,179498,Technical,3029.296479394118,232,51,860.5783141908278,Medium,4,0.6555122921111879,Marriage,Far,Fair,4,Medium,4,1
Julie Hunter,20,Female,Single,Master's Degree,52982,Managerial,5828.427076089634,106,74,190.84394671555256,High,15,0.9095160529789986,Birth,Close,Good,44,Low,3,4
Hayley Cook,43,Female,Single,Master's Degree,36742,Unskilled Labor,1334.3747337957511,233,45,704.5889261065064,High,12,0.3677609655278282,Marriage,Far,Poor,42,Low,2,2
